Date;Interest
1983-01-01;8,66
1983-04-01;8,80
1983-07-01;9,46
1983-10-01;9,43
1984-01-01;9,69
1984-04-01;10,55
1984-07-01;11,39
1984-10-01;9,26
1985-01-01;8,48
1985-04-01;7,92
1985-07-01;7,90
1985-10-01;8,10
1986-01-01;7,83
1986-04-01;6,92
1986-07-01;6,21
1986-10-01;6,27
1987-01-01;6,22
1987-04-01;6,65
1987-07-01;6,84
1987-10-01;6,92
1988-01-01;6,67
1988-04-01;7,15
1988-07-01;7,98
1988-10-01;8,47
1989-01-01;9,45
1989-04-01;9,73
1989-07-01;9,08
1989-10-01;8,61
1990-01-01;8,25
1990-04-01;8,24
1990-07-01;8,16
1990-10-01;7,74
1991-01-01;6,43
1991-04-01;5,86
1991-07-01;5,65
1991-10-01;4,82
1992-01-01;4,02
1992-04-01;3,77
1992-07-01;3,26
1992-10-01;3,03
1993-01-01;3,04
1993-04-01;3,00
1993-07-01;3,06
1993-10-01;2,99
1994-01-01;3,21
1994-04-01;3,94
1994-07-01;4,49
1994-10-01;5,17
1995-01-01;5,80
1995-04-01;6,02
1995-07-01;5,80
1995-10-01;5,72
1996-01-01;5,37
1996-04-01;5,24
1996-07-01;5,31
1996-10-01;5,28
1997-01-01;5,28
1997-04-01;5,52
1997-07-01;5,53
1997-10-01;5,51
1998-01-01;5,52
1998-04-01;5,50
1998-07-01;5,53
1998-10-01;4,86
1999-01-01;4,73
1999-04-01;4,75
1999-07-01;5,10
1999-10-01;5,30
2000-01-01;5,68
2000-04-01;6,27
2000-07-01;6,52
2000-10-01;6,47
2001-01-01;5,60
2001-04-01;4,33
2001-07-01;3,50
2001-10-01;2,13
2002-01-01;1,73
2002-04-01;1,75
2002-07-01;1,74
2002-10-01;1,44
2003-01-01;1,25
2003-04-01;1,25
2003-07-01;1,02
2003-10-01;1,00
2004-01-01;1,00
2004-04-01;1,01
2004-07-01;1,43
2004-10-01;1,95
2005-01-01;2,47
2005-04-01;2,94
2005-07-01;3,46
2005-10-01;3,98
2006-01-01;4,45
2006-04-01;4,91
2006-07-01;5,25
2006-10-01;5,24
2007-01-01;5,25
2007-04-01;5,25
2007-07-01;5,07
2007-10-01;4,50
2008-01-01;3,18
2008-04-01;2,08
2008-07-01;1,94
2008-10-01;0,51
2009-01-01;0,18
2009-04-01;0,18
2009-07-01;0,15
2009-10-01;0,12
2010-01-01;0,13
2010-04-01;0,19
2010-07-01;0,19
2010-10-01;0,19
2011-01-01;0,15
2011-04-01;0,09
2011-07-01;0,08
2011-10-01;0,07
2012-01-01;0,10
2012-04-01;0,15
2012-07-01;0,14
2012-10-01;0,16
2013-01-01;0,14
2013-04-01;0,12
2013-07-01;0,09
2013-10-01;0,09
2014-01-01;0,07
2014-04-01;0,09
2014-07-01;0,09
2014-10-01;0,10
2015-01-01;0,11
2015-04-01;0,13
2015-07-01;0,13
2015-10-01;0,16
2016-01-01;0,36
2016-04-01;0,37
2016-07-01;0,39
2016-10-01;0,45
2017-01-01;0,70
2017-04-01;0,95
2017-07-01;1,15
2017-10-01;1,20
2018-01-01;1,45
2018-04-01;1,74
2018-07-01;1,93
2018-10-01;2,22
2019-01-01;2,40
2019-04-01;2,40
2019-07-01;2,19
2019-10-01;1,65
2020-01-01;1,25
2020-04-01;0,06
2020-07-01;0,09
2020-10-01;0,09
2021-01-01;0,08
2021-04-01;0,07
2021-07-01;0,09
2021-10-01;0,08
